0,origin,made_by,name
619,三重,清水清三郎商店,イセノハナ　純米吟醸
620,三重,宮崎本店,純米大吟醸宮の雪「酒魂」
621,三重,宮崎本店,宮の雪純米吟醸
622,三重,宮崎本店,宮の雪大吟醸
623,三重,宮崎本店,宮の雪純米酒
624,三重,宮崎本店,宮の雪山廃仕込特別純米酒
625,三重,宮崎本店,極上宮の雪
626,三重,宮崎本店,宮の雪　冷卸
627,三重,宮崎本店,宮の雪　純米しぼりたて原酒
628,三重,宮崎本店,宮の雪 純米にごり酒
629,和歌山県　和歌山,田端酒造,羅生門　龍寿　純米大吟醸
630,和歌山県　和歌山,田端酒造,羅生門　鳳寿　大吟醸
631,和歌山県　和歌山,田端酒造,羅生門　鳳寿　吟醸
632,和歌山県　和歌山,田端酒造,羅生門　純米吟醸
633,和歌山県　和歌山,田端酒造,羅生門　純米
634,和歌山県　和歌山,田端酒造,羅生門　純米　からくち
635,和歌山県　和歌山,田端酒造,羅生門　悠寿　大古酒
636,和歌山県　和歌山,田端酒造,さとこのお酒　純米吟醸
637,和歌山県　和歌山,田端酒造,羅生門　日本酒仕込みの梅酒
638,和歌山県,梅の宿,梅の宿　純米吟醸
639,和歌山県,梅の宿,梅の宿　大吟醸
640,大阪府,大門酒造,DAIMON　Ｕmami　旨味
641,大阪府,大門酒造,DAIMON Crisp　爽快
642,大阪府,大門酒造,DAIMON Clear　清澄
643,大阪府,大門酒造,DAIMON Mellow　芳醇
644,大阪府,大門酒造,DAIMON Mellow Premium Fresh 生酒
645,京都府　伏見,キンシ正宗,キンシ正宗　本醸造　金閣
646,京都府　伏見,キンシ正宗,金鵄正宗　特別純米
647,京都府　伏見,キンシ正宗,金鵄正宗　純米吟醸
648,京都府　伏見,キンシ正宗,純米大吟醸　松屋久兵衛
649,京都府　伏見,キンシ正宗,金鵄正宗　純米大吟醸　祝45
650,京都府　伏見,キンシ正宗,キンシ正宗　特選　金閣
651,京都府,京姫酒造,京姫　純米大吟醸　匠
652,京都府,京姫酒造,京姫　山田錦大吟醸　匠
653,京都府,松本酒造,桃の滴　特別純米
654,京都府,北川本家,富翁 大吟醸純米 吟麗
655,京都府,北川本家,富翁 大吟醸 山田錦
656,京都府,北川本家,富翁 純米吟醸 祇園小町
657,京都府,北川本家,富翁 純米吟醸
658,京都府,北川本家,富翁 純米酒 プルミエアムール
659,京都府,北川本家,富翁 山田錦 純米酒
660,京都府,北川本家,富翁 大吟醸純米 吟の司 
661,京都府,北川本家,富翁 純米吟醸 ひやおろし
662,京都府,北川本家,純米酒 美肌
663,京都府　伏見,山本本家,純米吟醸　唯穂
664,京都府　伏見,山本本家,京伝来　純米大吟醸　さらなり
665,京都府　伏見,山本本家,神聖　たれ口
666,京都府　伏見,山本本家,源べエさんの生貯一番しぼり
667,京都府　伏見,山本本家,神聖　金ラベル　山田錦大吟醸原酒
668,京都府　伏見,山本本家,吟醸　水のしらべ
669,京都府　伏見,山本本家,神聖　全量山田錦　純米大吟醸
670,京都府　伏見,山本本家,上撰　松の翠　純米大吟醸
671,京都府　伏見,山本本家,神聖　山田錦純米大吟醸　氷温囲い
672,京都府　伏見,山本本家,神聖 祝　純米大吟醸
673,京都府　伏見,山本本家,神聖　純米
674,京都府　伏見,山本本家,神聖　特別純米春季限定
675,京都府　伏見,山本本家,源べエさんの生貯一番搾り
676,京都府　伏見,山本本家,源べえさんの原酒
677,京都府　伏見,山本本家,神聖　大吟醸
678,京都府　伏見,山本本家,松の翠　純米大吟醸
679,京都府,月桂冠,ヌーベル純米吟醸
680,京都府,月桂冠,ヌーベル特別本醸造
681,京都府,月桂冠,山田錦　特別純米
682,京都府,月桂冠,上撰　月桂冠
683,京都府,月桂冠,大吟醸
684,京都府,月桂冠,米と水の酒
685,京都府,月桂冠,鳳麟　純米大吟醸
686,京都府,黄桜,華祥風　大吟醸
687,京都府,黄桜,京の滴　純米吟醸
688,京都府,黄桜,金印
689,京都府,黄桜,吟醸生貯蔵
690,京都府,黄桜,祥風
691,京都府,黄桜,きもと山廃　山田錦
692,京都府,黄桜,蔵の詩
693,京都府,東山酒造,閂
694,京都府,宝酒造,松竹梅　白壁蔵　きもと純米
695,京都府,宝酒造,松竹梅　白壁蔵　きもと吟醸
696,京都府,宝酒造,松竹梅　澪
697,京都府,宝酒造,澪DRY
698,京都府,宝酒造,松竹梅 白壁蔵 澪ＧＯＬＤスパークリング
699,京都府,宝酒造,松竹梅 白壁蔵 澪  ＷＨＩＴＥ
700,京都府,宝酒造,上撰松竹梅
701,京都府,宝酒造,松竹梅　超特選　特別純米　金箔入り
702,京都府,宝酒造,松竹梅　山田錦　特別純米
703,京都府,宝酒造,松竹梅　大吟醸
704,京都府,宝酒造,松竹梅　純米大吟醸
705,京都府,宝酒造,松竹梅　樽酒
706,兵庫県,日本盛,魚沼産こしひかり純米
707,兵庫県,日本盛,惣花
708,兵庫県,日本盛,日本盛　大吟醸
709,兵庫県,日本盛,特別純米
710,兵庫県,日本盛,特別本醸造　山田錦
711,兵庫県,小西酒造,KONISHI　吟醸ひやしぼり
712,兵庫県,小西酒造,ＫＯＮＩＳＨＩ　大吟醸ひやしぼり
713,兵庫県,小西酒造,KONISHI　純米酒こくあがり
714,兵庫県,小西酒造,ＫＯＮＩＳＨＩ　蒼瑠璃ＰＡＬＥ　純米大吟醸
715,兵庫県,小西酒造,ＫＯＮＩＳＨＩ　碧冴えの澄みきり純米
716,兵庫県,小西酒造,白雪　純米　赤富士
717,兵庫県,小西酒造,純米大吟醸　大褒寿
718,兵庫県,小西酒造,白雪純米大吟醸必勝の酒勝馬米
719,兵庫県,小西酒造,白雪江戸元禄の酒（復刻酒）原酒
720,兵庫県,小西酒造,白雪　樽酒
721,兵庫県,富久娘酒造,純米　力
722,兵庫県,富久娘酒造,富久娘　にごり酒
723,兵庫県,富久娘酒造,菊源氏　生酒
724,兵庫県,灘浜福鶴,浜福鶴　純米大吟醸
725,兵庫県,灘浜福鶴,浜福鶴　大吟醸　備前雄町
726,兵庫県,沢の鶴,上撰　本醸造
727,兵庫県,沢の鶴,丹頂　純米
728,兵庫県,沢の鶴,丹頂　純米山田錦
729,兵庫県,沢の鶴,実楽　山田錦
730,兵庫県,沢の鶴,山田錦　生貯蔵
731,兵庫県,白鷹,大吟醸白鷹
732,兵庫県,白鷹,極上白鷹　GH-N
733,兵庫県,白鷹,超特撰白鷹　DH-N
734,兵庫県,白鷹,白鷹　吟醸山田錦
735,兵庫県,白鷹,金松白鷹
736,兵庫県,白鷹,白鷹　冷晴
737,兵庫県,白鷹,白鷹　秋あがり
738,兵庫県,白鷹,白鷹　山田錦生原酒
739,兵庫県,白鷹,白鷹　しぼりたて原酒
740,兵庫県,櫻正宗,櫻華一輪　大吟醸
741,兵庫県,櫻正宗,純米吟醸　金稀
742,兵庫県,櫻正宗,櫻正宗　特別純米　宮水の華
743,兵庫県,櫻正宗,櫻正宗　朱稀
744,兵庫県,櫻正宗,櫻正宗　吟醸
745,兵庫県,櫻正宗,焼稀 生一本
746,兵庫県,剣菱,剣菱
747,兵庫県,剣菱,黒松剣菱
748,兵庫県,神戸酒心館,福寿　純米大吟醸　黒ラベル
749,兵庫県,神戸酒心館,福寿　純米大吟醸
750,兵庫県,神戸酒心館,福寿　大吟醸
751,兵庫県,神戸酒心館,福寿　吟醸ROSA
752,兵庫県,神戸酒心館,福寿　純米吟醸
753,兵庫県,神戸酒心館,福寿　超特選純米酒
754,兵庫県,神戸酒心館,福寿　純米酒 「御影郷」
755,兵庫県,神戸酒心館,福寿　純米原酒　コウノトリLabel
756,兵庫県,神戸酒心館,福寿　本醸造「匠」
757,兵庫県,神戸酒心館,福寿　純米発泡酒　「あわ咲き」
758,兵庫県,白鶴,白鶴　大吟醸
759,兵庫県,名城酒造,官兵衛しぼりたて
760,兵庫県,名城酒造,官兵衛　にごり酒
761,兵庫県,名城酒造,純米にごりみかえり兎
762,兵庫県,名城酒造,名城純米酒
763,兵庫県,名城酒造,千姫大吟醸
764,兵庫県,名城酒造,中取り大吟醸
765,兵庫県,名城酒造,名城大吟醸
766,兵庫県,名城酒造,名城涼鈴
767,兵庫県,名城酒造,ひやし銀次
768,兵庫県,名城酒造,まるわらい純米大吟醸
769,兵庫県,名城酒造,純米ひやおろし
770,兵庫県,名城酒造,美山錦100％
771,兵庫県,名城酒造,名城山田錦生貯蔵酒
772,兵庫県,名城酒造,名城純金箔
773,兵庫県,名城酒造,名城山田錦100％
774,兵庫県,名城酒造,新姫路城純米大吟醸
775,兵庫県,名城酒造,から口官兵衛
776,兵庫県,名城酒造,純米姫路城
777,兵庫県,名城酒造,姫路城純米吟醸
778,兵庫県,名城酒造,兵庫男山
779,兵庫県,大関㈱,極上の甘口
780,兵庫県,大関㈱,大関　山田錦
781,兵庫県,大関㈱,大関　大吟醸
782,兵庫県,大関㈱,大坂屋長兵衛
783,兵庫県,大関㈱,十段仕込
784,兵庫県,大関㈱,大関　純米大吟醸
785,兵庫県,大関㈱,長寿
786,兵庫県,大関㈱,大坂屋長兵衛金賞受賞酒
787,兵庫県,大関㈱,純米酒　醴
788,兵庫県,大関㈱,辛丹波
789,兵庫県,大関㈱,辛丹波生貯蔵
790,兵庫県,大関㈱,辛丹波にごり
791,兵庫県,大関㈱,純米酒穂水
792,兵庫県,菊正宗,超特  生もと  純米大吟醸
793,兵庫県,菊正宗,菊正宗 嘉宝蔵 灘の生一本 純米
794,兵庫県,菊正宗,菊正宗 超特撰 生もと 大吟醸
795,兵庫県,菊正宗,上撰  菊正宗  樽酒
796,兵庫県,菊正宗,菊正宗 上撰 本醸造
797,岡山県,宮下酒造,大吟醸極聖 昔搾り斗瓶どり
798,岡山県,宮下酒造,極聖 大吟醸山田錦 
799,岡山県,宮下酒造,極聖 大吟醸雄町米 
800,岡山県,宮下酒造,極聖 純米大吟醸 高島雄町 斗瓶囲い
801,岡山県,宮下酒造,極聖 純米大吟醸 高島雄町 
802,岡山県,宮下酒造,極聖 吟醸 雄町米 
803,岡山県,宮下酒造,極聖 純米吟醸 高島雄町
804,岡山県,宮下酒造,極聖 おかやま 雄町米 純米吟醸
805,岡山県,宮下酒造,極聖 純米吟醸
806,岡山県,宮下酒造,極聖 特別純米 五百万石
807,岡山県,宮下酒造,極聖 特別純米 高島雄町
808,岡山県,宮下酒造,極聖 特別純米 山田錦
809,岡山県,宮下酒造,極聖 純米 一番滴
810,岡山県,宮下酒造,極聖　荒走り吟醸原酒
811,岡山県,宮下酒造,極聖　にごり原酒
812,岡山県,宮下酒造,極聖　ひやおろし吟醸原酒
813,岡山県,宮下酒造,極聖　純米大吟醸「天下至聖」雄町米2割磨き
814,岡山県,丸本酒造,かもみどり　純米酒
815,岡山県,丸本酒造,かもみどり　熟成純米
816,岡山県,丸本酒造,かもみどり　純米大吟醸
817,岡山県,丸本酒造,かもみどり　大吟醸
818,岡山県,丸本酒造,かもみどり　純米吟醸　雄町（生貯蔵）
819,岡山県,丸本酒造,農産酒蔵　オーガニック
820,岡山県,嘉美心酒造,嘉美心_純米大吟醸
821,岡山県,嘉美心酒造,嘉美心_大吟醸
822,岡山県,嘉美心酒造,嘉美心_備中流純米大吟醸 
823,岡山県,嘉美心酒造,嘉美心_備中流大吟醸
824,岡山県,嘉美心酒造,雄町純米吟醸
825,岡山県,嘉美心酒造,嘉美心_備中流純米吟醸酒
826,岡山県,嘉美心酒造,嘉美心_備中流純米酒
827,岡山県,嘉美心酒造,嘉美心_秘宝
828,岡山県,嘉美心酒造,嘉美心_清流
829,岡山県,嘉美心酒造,嘉美心_木陰の魚
830,岡山県,嘉美心酒造,嘉美心　しゅわしゅわ
831,広島県,賀茂鶴酒造,大吟醸　天凛
832,広島県,賀茂鶴酒造,大吟醸　吉祥賀茂鶴
833,広島県,賀茂鶴酒造,大吟醸　双鶴
834,広島県,賀茂鶴酒造,大吟醸　ゴールド賀茂鶴
835,広島県,賀茂鶴酒造,吟醸　辛口
836,広島県,賀茂鶴酒造,特別本醸造 超特撰特等酒
837,広島県,賀茂鶴酒造,本醸造 上等酒
838,広島県,賀茂鶴酒造,本醸造 からくち
839,広島県,賀茂鶴酒造,純米大吟醸酒　大吟峰
840,広島県,賀茂鶴酒造,純米吟醸
841,広島県,賀茂鶴酒造,純米吟醸　一滴入魂
842,広島県,賀茂鶴酒造,純米吟醸　厳島
843,広島県,賀茂鶴酒造,純米
844,広島県,賀茂鶴酒造,生囲い純米
845,広島県,賀茂鶴酒造,樽酒
846,広島県,千福,もみじ吟醸
847,広島県,千福,永寿
848,広島県,千福,王者
849,広島県,千福,吟醸　宮島絵巻
850,広島県,千福,吟醸スペシャル
851,広島県,千福,純米原酒ごくり
852,広島県,千福,純米酒
853,広島県,千福,神力　生もと純米無濾過原酒
854,広島県,千福,生貯蔵
855,広島県,千福,大和ミュージアム
856,広島県,千福,鉄のくじら
857,広島県,千福,八反錦
858,広島県,千福,浮玉
859,広島県,千福,本醸造辛口
860,広島県,千福,味わいの純米吟醸
861,広島県,千福,蔵
862,広島県,千福,蔵香り
863,広島県,福美人酒造,福美人　純米
864,広島県,酔心山根本店,酔心　橅のしずく　白ラベル
865,広島県,酔心山根本店,究極の酔心大吟醸
866,広島県,酔心山根本店,酔心　稲穂　純米吟醸
867,広島県,酔心山根本店,酔心純米酒　蔵出し　秋あがり
868,広島県,酔心山根本店,酔心　大観の酒　純米しぼりたて
869,広島県,酔心山根本店,酔心　軟水の辛口　純米酒
870,島根県,奥出雲酒造,奥出雲　純米
871,島根県,奥出雲酒造,奥出雲　純米大吟醸
872,島根県,奥出雲酒造,仁多米　純米
873,山口県　岩国市,旭酒造,獺祭　純米大吟醸　50
874,山口県　岩国市,旭酒造,獺祭　純米大吟醸　磨き三割九分
875,山口県　岩国市,旭酒造,獺祭　純米大吟醸　磨き二割三分
876,山口県　岩国市,旭酒造,獺祭　純米大吟醸　磨き三割九分　遠心分離
877,山口県　岩国市,旭酒造,獺祭　発泡にごり酒スパークリング50
878,山口県,金光酒造,山頭火　純米吟醸西都の雫 月のふくろう
879,山口県,金光酒造,山頭火無濾過純米吟醸原酒
880,山口県,金光酒造,純米吟醸　山頭火
881,山口県,金光酒造,純米吟醸山頭火中原中也(月夜の浜辺)
882,山口県,金光酒造,特別本醸造山頭火
883,山口県,永山酒造,山猿　純米吟醸無濾過生原酒
884,山口県,永山酒造,山猿　純米
885,愛媛県,八木酒造部,山丹正宗　純米大吟醸　秘蔵酒
886,愛媛県,八木酒造部,山丹正宗　純米大吟醸　山田錦
887,愛媛県,八木酒造部,山丹正宗　純米大吟醸　松山三井
888,愛媛県,八木酒造部,山丹正宗　大吟醸酒
889,愛媛県,八木酒造部,山丹正宗　しずく媛　純米吟醸
890,愛媛県,八木酒造部,山丹正宗　吟醸酒
891,愛媛県,八木酒造部,山丹正宗　風鈴
892,愛媛県,八木酒造部,山丹正宗　特別純米酒
893,愛媛県,八木酒造部,山丹正宗　天然酒
894,愛媛県,八木酒造部,山丹正宗　短稈渡船
895,愛媛県,八木酒造部,山丹正宗　本醸造酒　しまなみ
896,愛媛県,梅錦山川,梅錦　大吟醸辛口
897,愛媛県,栄光酒造,ささおり
898,愛媛県,栄光酒造,松山三井
899,愛媛県,栄光酒造,松山三井無濾過生
900,愛媛県,栄光酒造,松山三井　黒
901,愛媛県,栄光酒造,夢月夜
902,愛媛県,栄光酒造,辛口純米六十八「辛」
903,愛媛県,栄光酒造,辛口純米八拾無濾過生
904,愛媛県,栄光酒造,純米にごり酒「雪のマドンナ」
905,愛媛県,栄光酒造,にごり蔵酒
906,香川県,川鶴酒造,川鶴特別純米雄町60
907,徳島県,本家松浦酒造場,鳴門鯛吟醸しぼりたて生原酒
908,徳島県,本家松浦酒造場,鳴門鯛純米吟醸原酒
909,徳島県,本家松浦酒造場,ナルトタイ純米原酒水ト米
910,徳島県,本家松浦酒造場,鳴門鯛　純米大吟醸
911,徳島県,本家松浦酒造場,鳴門鯛　大吟醸
912,徳島県,本家松浦酒造場,鳴門鯛　吟醸飛切
913,徳島県,三芳菊酒造,WildSide
914,徳島県,三芳菊酒造,特別純米　胡春
915,高知県,司牡丹,司牡丹 純米 船中八策
916,高知県,濱川酒造,慎太郎　純米
917,高知県,酔鯨酒造,純米吟醸吟麗
918,高知県,酔鯨酒造,純米大吟醸　吟の冴
919,高知県,酔鯨酒造,純米吟の夢
920,高知県,酔鯨酒造,熟成梅酒
921,高知県,酔鯨酒造,純米八反錦
922,高知県,酔鯨酒造,純米吟醸　備前雄町
923,高知県,酔鯨酒造,純米吟醸吟麗しぼりたて
924,高知県,酔鯨酒造,純米吟醸吟麗未濾過すっぴん
925,高知県,酔鯨酒造,特別純米酒
926,大分県,老松酒造,大吟醸山水
927,大分県,老松酒造,特別純米山水
928,大分県,老松酒造,純米吟醸１５°山水
929,大分県,老松酒造,純米大吟醸山水
930,熊本県,瑞鷹,夏吟醸夏酒
931,熊本県,瑞鷹,吟醸酒　吉祥瑞鷹
932,熊本県,瑞鷹,菜々
933,熊本県,瑞鷹,純米にごり酒
934,熊本県,瑞鷹,純米大吟醸　金
935,熊本県,瑞鷹,純米大吟醸　銀
936,熊本県,瑞鷹,大吟醸　雫取り
937,熊本県,瑞鷹,大吟醸　槽搾り
938,熊本県,美少年酒造,美少年  剣門  純米吟醸
939,佐賀県,光武酒造場,手造り純米酒　光武
940,佐賀県,光武酒造場,純米吟醸　光武
941,佐賀県,光武酒造場,純米酒　Shall We Dance!!
942,佐賀県,光武酒造場,純米大吟醸　光武
943,佐賀県,光武酒造場,大吟醸　光武
944,佐賀県,光武酒造場,特別本醸造辛口金波
945,佐賀県,光武酒造場,特別本醸造無濾過雫しぼり
946,佐賀県,光武酒造場,無濾過原酒純米吟醸原酒　光武
947,佐賀県,天山酒造,大吟醸　飛天山
948,佐賀県,天山酒造,天山　大吟醸
949,佐賀県,天山酒造,地酒　天山
950,佐賀県,天山酒造,天山　純米吟醸　赤ラベル
951,佐賀県,天山酒造,蛍川
952,佐賀県,天山酒造,特別純米酒　純天山
953,佐賀県,天山酒造,超辛口　天山
